五星角色跃迁名称,五星角色,五星光锥跃迁名称,五星光锥,四星角色,四星光锥,代号
永劫燔阳,白厄,白厄专锥,黎明恰如此燃烧,停云，三月七，驭空,故事的下一页，与行星相会，在蓝天下,phainon-c/w（备注：-c代表character角色，-w代表weapon武器）
绀碧绝音,海瑟音,海瑟音专锥,海洋为何而歌,艾丝妲，阿兰，虎克,猎物的视线，芳华待灼，铭记于心的约定,hysilens-c/w
弄潮铁血,刻律德菈,刻律专锥,金血铭刻的时代,桑博，青雀，丹恒,「我」的诞生，论剑，晚安与睡颜,cerydra-c/w
无我所忆,长夜月,长夜月专锥,致长夜的星光,米沙，桂乃芬，雪衣,梦的蒙太奇，谐乐静默之后，舞！舞！舞！,evernight-c/w
八荒诛邪,丹恒·腾荒,盾丹专锥,纵然山河万程,素裳，寒鸦，希露瓦,朗道的选择，唯有沉默，此时恰好,dundan-c/w
涟漪回环,昔涟,昔涟专锥,爱如此刻永恒,貊泽，玲可，佩拉,故事的下一页，两个人的演唱会，无边曼舞,cyrene-c/w
烛中翩影,大丽花,大丽花专锥,勿忘她的火焰,加拉赫，卢卡，三月七,两个人的演唱会，记忆中的模样，晚安与睡颜,dahlia-c/w
关映千翎,爻光,爻光专锥,当她决定看见,佩拉，寒鸦，青雀,与行星相会，决心如汗珠般闪耀，故事的下一页,yaoguang-c/w
狂欢企划,火花,火花专锥,花花世界迷人眼,佩拉，寒鸦，青雀,与行星相会，决心如汗珠般闪耀，故事的下一页,sparxie-c/w
长夜狩影,不死途,不死途专锥,一场谎言的终幕,艾丝妲，貊泽，米沙,别让世界静下来，黑夜如影随形，梦的蒙太奇,ashveil-c/w
无敌玩家,银狼LV.999,狼尊专锥,欢迎来到银河城,加拉赫，雪衣，虎克,芳华待灼，铭记于心的约定，猎物的视线,yl999-c/w
韶艾裁英,绯英,绯英专锥,邂逅于下一个花季,桂乃芬，玲可，素裳,论剑，记忆中的模样，同一种心情,evanescia-c/w
我身即刃,千冶·刃,千冶·刃专锥,灼尽炼狱的新骸,桑博，卢卡，停云,晚安与睡颜，余生的第一天，鼹鼠党欢迎你,spblade-c/w
